Timestamps, m/s Gust Speed,Mean Optical Flow,Wind Speed [m/s]
2020-12-29 07:00:00,5.11,3.5616323595483657,3.39
2020-12-29 07:05:00,5.25,3.8553372108923267,3.19
2020-12-29 07:10:00,7.65,5.4271148158040505,3.94
2020-12-29 07:15:00,6.3,3.614794059618689,3.46
2020-12-29 07:20:00,7.07,5.071930819268635,4.0
2020-12-29 07:25:00,6.81,3.545732292155023,3.83
2020-12-29 07:30:00,5.43,4.113256929793717,3.22
2020-12-29 07:35:00,5.95,5.437651397328317,3.14
2020-12-29 07:40:00,7.35,4.56534092240975,3.99
2020-12-29 07:45:00,5.61,5.2433517929098095,3.35
2020-12-29 07:50:00,6.5,3.2857955079173378,3.99
2020-12-29 07:55:00,6.57,4.29386661978434,3.46
2020-12-29 08:00:00,7.21,3.6781224605407106,3.71
2020-12-29 08:05:00,7.31,4.905412295866542,3.84
2020-12-29 08:10:00,6.8,3.2883557001093915,4.23
2020-12-29 08:15:00,5.81,3.4502936982341,3.77
2020-12-29 08:20:00,6.77,3.1920900970854826,3.98
2020-12-29 08:25:00,6.28,4.8365312206985465,3.68
2020-12-29 08:30:00,5.83,3.0113356334974215,3.32
2020-12-29 08:35:00,5.2,3.8952981667057345,3.52
2020-12-29 08:40:00,5.72,3.3782945577433976,3.27
2020-12-29 08:45:00,5.63,2.868579172526957,3.16
2020-12-29 08:50:00,5.15,2.9005478395061735,3.07
2020-12-29 08:55:00,5.41,2.673473833802156,3.2
2020-12-29 09:00:00,4.49,2.1948198448976406,2.95
2020-12-29 09:05:00,6.41,2.795769480582903,3.56
2020-12-29 09:10:00,5.0,2.4168821788560715,3.2
2020-12-29 09:15:00,5.82,3.6227912808641984,3.57
2020-12-29 09:20:00,5.85,1.9141658608766996,2.95
2020-12-29 09:25:00,5.52,1.4996839105719635,3.09
2020-12-29 09:30:00,7.13,3.3366991180262544,3.79
2020-12-29 09:35:00,6.06,3.0934385255508667,3.54
