Timestamps, m/s Gust Speed,Mean Optical Flow,Wind Speed [m/s]
2020-12-29 07:05:00,5.25,3.5616323595483657,3.19
2020-12-29 07:10:00,7.65,3.8553372108923267,3.94
2020-12-29 07:15:00,6.3,5.4271148158040505,3.46
2020-12-29 07:20:00,7.07,3.614794059618689,4.0
2020-12-29 07:25:00,6.81,5.071930819268635,3.83
2020-12-29 07:30:00,5.43,3.545732292155023,3.22
2020-12-29 07:35:00,5.95,4.113256929793717,3.14
2020-12-29 07:40:00,7.35,5.437651397328317,3.99
2020-12-29 07:45:00,5.61,4.56534092240975,3.35
2020-12-29 07:50:00,6.5,5.2433517929098095,3.99
2020-12-29 07:55:00,6.57,3.2857955079173378,3.46
2020-12-29 08:00:00,7.21,4.29386661978434,3.71
2020-12-29 08:05:00,7.31,3.6781224605407106,3.84
2020-12-29 08:10:00,6.8,4.905412295866542,4.23
2020-12-29 08:15:00,5.81,3.2883557001093915,3.77
2020-12-29 08:20:00,6.77,3.4502936982341,3.98
2020-12-29 08:25:00,6.28,3.1920900970854826,3.68
2020-12-29 08:30:00,5.83,4.8365312206985465,3.32
2020-12-29 08:35:00,5.2,3.0113356334974215,3.52
2020-12-29 08:40:00,5.72,3.8952981667057345,3.27
2020-12-29 08:45:00,5.63,3.3782945577433976,3.16
2020-12-29 08:50:00,5.15,2.868579172526957,3.07
2020-12-29 08:55:00,5.41,2.9005478395061735,3.2
2020-12-29 09:00:00,4.49,2.673473833802156,2.95
2020-12-29 09:05:00,6.41,2.1948198448976406,3.56
2020-12-29 09:10:00,5.0,2.795769480582903,3.2
2020-12-29 09:15:00,5.82,2.4168821788560715,3.57
2020-12-29 09:20:00,5.85,3.6227912808641984,2.95
2020-12-29 09:25:00,5.52,1.9141658608766996,3.09
2020-12-29 09:30:00,7.13,1.4996839105719635,3.79
2020-12-29 09:35:00,6.06,3.3366991180262544,3.54
2020-12-29 09:40:00,6.66,3.0934385255508667,3.59
2020-12-29 09:45:00,5.85,3.6811602887169856,3.14
2020-12-29 09:50:00,7.24,2.8922288150492275,3.33
2020-12-29 09:55:00,5.92,4.890750141623691,3.43
2020-12-29 10:00:00,4.9,2.7327125087904354,3.4
2020-12-29 10:05:00,5.67,3.458837000898578,3.21
2020-12-29 10:10:00,4.76,2.5903234147913734,2.95
2020-12-29 10:15:00,5.54,3.938472490818878,3.9
2020-12-29 10:20:00,6.06,3.531943589818721,4.1
2020-12-29 10:25:00,7.25,3.3934040290290293,3.99
2020-12-29 10:30:00,5.28,3.717546027699641,3.37
2020-12-29 10:35:00,6.59,3.009094731598688,3.11
2020-12-29 10:40:00,5.02,3.3095061484216286,3.33
2020-12-29 10:45:00,5.19,2.9455081604547586,3.62
2020-12-29 10:50:00,4.75,3.539320719057666,3.34
2020-12-29 10:55:00,6.02,2.7921377852008127,3.49
2020-12-29 11:00:00,6.08,3.682983010040631,3.49
2020-12-29 11:05:00,7.24,4.120526742459761,3.76
2020-12-29 11:10:00,4.84,4.170479689209251,3.3
2020-12-29 11:15:00,6.32,4.353658652719175,3.28
2020-12-29 11:20:00,6.23,3.7547573351304893,3.59
2020-12-29 11:25:00,5.94,3.4574665963431785,3.72
2020-12-29 11:30:00,6.78,3.9662330784106903,3.49
2020-12-29 11:35:00,5.5,4.257095082772166,3.12
2020-12-29 11:40:00,6.45,5.8062516367377475,3.65
2020-12-29 11:45:00,5.1,5.530432230289001,3.46
2020-12-29 11:50:00,6.16,5.186184480097913,3.24
2020-12-29 11:55:00,5.02,7.013891369047619,3.39
2020-12-29 12:00:00,6.31,4.665593579985352,3.8
2020-12-29 12:05:00,5.55,7.414684413580247,3.09
2020-12-29 12:10:00,6.47,4.110581340834505,4.18
2020-12-29 12:15:00,6.7,4.826320569701647,4.27
2020-12-29 12:20:00,5.65,4.35560387894957,3.52
2020-12-29 12:25:00,5.35,5.6444762140967475,3.47
2020-12-29 12:30:00,4.98,3.411649958015613,3.21
2020-12-29 12:35:00,5.84,4.805742261692783,3.94
2020-12-29 12:40:00,5.62,4.723108896940419,3.31
2020-12-29 12:45:00,5.7,3.7003932018150003,3.14
2020-12-29 12:50:00,6.17,3.353656840050835,3.77
2020-12-29 12:55:00,4.58,3.5512969947318003,3.25
2020-12-29 13:00:00,6.7,5.89630260468802,3.33
2020-12-29 13:05:00,5.95,5.103840976393059,3.83
2020-12-29 13:10:00,5.9,5.544920793583989,3.39
2020-12-29 13:15:00,5.59,3.9761080588763877,3.27
2020-12-29 13:20:00,6.39,5.604708294753086,3.99
2020-12-29 13:25:00,5.13,4.499880833599405,3.27
2020-12-29 13:30:00,4.73,6.343925367890213,2.74
2020-12-29 13:35:00,5.39,4.789910962301588,3.58
2020-12-29 13:40:00,7.15,7.746686790957624,3.79
2020-12-29 13:45:00,6.72,5.502419359719196,3.74
2020-12-29 13:50:00,6.33,6.027851766844528,3.75
2020-12-29 13:55:00,8.19,6.2470102451989025,3.55
2020-12-29 14:00:00,5.38,5.794748401675484,3.53
2020-12-29 14:05:00,6.99,4.491459969331146,3.83
2020-12-29 14:10:00,5.07,4.268961336732301,2.94
2020-12-29 14:15:00,5.93,5.084417438271605,3.36
2020-12-29 14:20:00,5.32,3.4084083206360374,3.43
2020-12-29 14:25:00,4.43,4.9820547888341915,2.74
2020-12-29 14:30:00,5.51,3.3549602476949523,3.76
2020-12-29 14:35:00,5.74,4.616364104742926,3.68
2020-12-29 14:40:00,5.07,3.708537320284419,3.0
2020-12-29 14:45:00,6.21,5.4561501797155785,3.62
2020-12-29 14:50:00,4.62,1.916505215658696,2.68
2020-12-29 14:55:00,5.13,2.8868791510392247,2.82
2020-12-29 15:00:00,5.84,5.494955583880293,3.07
2020-12-29 15:05:00,4.98,4.148379995897798,3.28
2020-12-29 15:10:00,5.92,4.474091728199719,2.98
2020-12-29 15:15:00,4.67,3.4638503574777295,2.92
2020-12-29 15:20:00,7.1,4.756992669753086,3.41
2020-12-29 15:25:00,6.73,6.304866531879984,3.66
2020-12-29 15:30:00,6.04,3.6809794743319273,3.9
2020-12-29 15:35:00,4.66,4.312738123144243,3.24
2020-12-29 15:40:00,5.6,4.3724296276762,3.17
2020-12-29 15:45:00,4.98,2.6000681258790435,3.13
2020-12-29 15:50:00,4.79,3.903178499570244,3.04
2020-12-29 15:55:00,4.91,3.1736447589467116,2.92
2020-12-29 16:00:00,3.72,1.2268930203938115,2.35
2020-12-29 16:05:00,3.62,1.5572935224253792,2.28
2020-12-29 16:10:00,5.04,2.451171643030162,3.01
2020-12-29 16:15:00,5.08,2.7175597505469615,2.66
2020-12-29 16:20:00,4.11,1.0303612380840756,2.23
2020-12-29 16:25:00,4.66,2.027727989724957,2.65
2020-12-29 16:30:00,3.98,3.452022996757305,2.43
2020-12-29 16:35:00,3.56,1.5589436826066576,2.28
2020-12-29 16:40:00,4.05,0.9355752119471787,2.43
2020-12-29 16:45:00,4.5,2.4815884317862156,2.57
2020-12-29 16:50:00,3.46,1.5159063672058126,2.18
2020-12-29 16:55:00,4.02,1.7017574279184244,1.97
2020-12-29 17:00:00,3.12,1.2379666744803877,2.0
2020-12-29 17:05:00,2.87,1.5375373837709019,1.6
2020-12-29 17:10:00,2.14,2.5667864851929987,1.5
2020-12-29 17:15:00,3.61,3.1314915172292546,2.16
2020-12-29 17:20:00,2.78,3.323896946788561,1.77
